Tree,Year,Tree_x,Tree_y
D1_145,2013,-57.38994,-35.12606
D1_146,2013,-57.39017,-35.12836
D1_147,2013,-57.39094,-35.12758
D1_148,2013,-57.39097,-35.12761
P1_10,2013,-57.38992,-35.12692
P1_11,2013,-57.39111,-35.12667
P1_12,2013,-57.39269,-35.12714
P1_13,2013,-57.39139,-35.12828
P1_2,2013,-57.39028,-35.12614
P1_5_1,2013,-57.38933,-35.1265
P1_5_2,2013,-57.38686,-35.15225
P1_7,2013,-57.38675,-35.15275
P1_8,2013,-57.38886,-35.15408
P1_9,2013,-57.38719,-35.15503
P2_150,2013,-57.395,-35.14342
P2_151,2013,-57.3965,-35.14206
P2_152,2013,-57.39672,-35.14136
P2_153,2013,-57.39403,-35.14775
P2_154,2013,-57.39467,-35.14614
P2_155,2013,-57.39403,-35.14722
P3_1,2013,-57.39222,-35.14114
P3_2,2013,-57.39217,-35.14153
P3_6,2013,-57.39111,-35.14228
P3_7,2013,-57.39164,-35.14236
A18,2014,-57.38296,-35.14507
A22,2014,-57.38376,-35.1452
A25,2014,-57.38388,-35.14503
A30,2014,-57.38259,-35.14526
B3,2014,-57.38045,-35.14726
B4,2014,-57.38032,-35.14721
B5,2014,-57.38113,-35.14616
B6,2014,-57.37867,-35.14833
C2,2014,-57.38677,-35.14604
C6,2014,-57.38728,-35.14541
C8,2014,-57.38702,-35.14565
C10,2014,-57.38699,-35.14599
D3,2014,-57.38311,-35.14707
D5,2014,-57.383,-35.147
D8,2014,-57.383,-35.14733
D10,2014,-57.38296,-35.14719
E3,2014,-57.38415,-35.14697
E6,2014,-57.38358,-35.14748
E10,2014,-57.3834,-35.14783
E11,2014,-57.38355,-35.14771
G1,2014,-57.38327,-35.14855
G2,2014,-57.3832,-35.14884
G3,2014,-57.38309,-35.14885
G4,2014,-57.38272,-35.14951
H1,2014,-57.3896,-35.14831
H2,2014,-57.38964,-35.14823
H3,2014,-57.3896,-35.14826
H5,2014,-57.38985,-35.14799
H6,2014,-57.38999,-35.14815
I1,2014,-57.38782,-35.14901
I2,2014,-57.38781,-35.14905
I06,2014,-57.38822,-35.14895
I07,2014,-57.38813,-35.14885
PE2,2015,-57.39233,-35.14046
PE4,2015,-57.39163,-35.14025
PE5,2015,-57.39138,-35.14034
PE6,2015,-57.39148,-35.14037
PE7,2015,-57.39114,-35.14066
PE8,2015,-57.39099,-35.14071
PG1,2015,-57.38916,-35.14217
PG10,2015,-57.38889,-35.14267
PG2,2015,-57.38886,-35.1422
PG3,2015,-57.38853,-35.14272
PG4,2015,-57.38879,-35.14286
PG5,2015,-57.38886,-35.14274
PG6,2015,-57.38909,-35.14256
PG7,2015,-57.38898,-35.14241
PG8,2015,-57.38885,-35.14245
PG9,2015,-57.38879,-35.14279
PH1,2015,-57.39559,-35.13805
PH10,2015,-57.39575,-35.13891
PH11,2015,-57.39604,-35.13805
PH12,2015,-57.39565,-35.13811
PH13,2015,-57.39585,-35.13822
PH14,2015,-57.39493,-35.1386
PH2,2015,-57.3958,-35.13826
PH3,2015,-57.39569,-35.13805
PH4,2015,-57.39576,-35.13821
PH5,2015,-57.3959,-35.13803
PH6,2015,-57.3959,-35.13808
PH7,2015,-57.3959,-35.13874
PH8,2015,-57.39582,-35.13885
PH9,2015,-57.39597,-35.13894
PI1,2015,-57.39537,-35.13961
PI2,2015,-57.39543,-35.13969
PI3,2015,-57.39536,-35.13947
PI4,2015,-57.39553,-35.13958
PJ1,2015,-57.39431,-35.14077
PJ2,2015,-57.39402,-35.14088
PJ3,2015,-57.39439,-35.14109
PJ4,2015,-57.39434,-35.14114
PJ5,2015,-57.39433,-35.14137
PJ6,2015,-57.39366,-35.14179
PJ7,2015,-57.39333,-35.14244
PJ8,2015,-57.39445,-35.14106
