Tree,Year,Tree_x,Tree_y,Fruit_crop,Fruit_diameter,Sugar_concentration,Effort,Agelaioides_badius,Elaenia_parvirostris,Icterus_cayanensis,Mimus_saturninus,Myiopsitta_monachus,Paroaria_coronata,Parula_pitiayumi,Patagioenas_picazuro,Pitangus_sulphuratus,Thraupis_bonariensis,Turdus_amaurochalinus,Turdus_rufiventris,Tyrannus_melancholicus,Zonotrichia_capensis
D1_145,2013,-57.38994,-35.12606,65446,9.065,21.19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
D1_146,2013,-57.39017,-35.12836,5084,8.966,23.93,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
D1_147,2013,-57.39094,-35.12758,45918,7.903,26.17,3,9,0,0,0,0,0,0,0,1,0,0,0,0,0
D1_148,2013,-57.39097,-35.12761,14514,8.938,24.23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1_10,2013,-57.38992,-35.12692,1875,8.517,20.74,3,2,0,1,2,0,2,0,0,0,0,0,0,0,0
P1_11,2013,-57.39111,-35.12667,56171,8.513,21.08,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P1_12,2013,-57.39269,-35.12714,1901,9.827,17.68,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1_13,2013,-57.39139,-35.12828,23266,9.223,19.96,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1_2,2013,-57.39028,-35.12614,1999,9.029,16.93,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1_5_1,2013,-57.38933,-35.1265,15678,8.517,19.38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1_5_2,2013,-57.38686,-35.15225,7876,8.369,25.61,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1_7,2013,-57.38675,-35.15275,7032,8.616,22.08,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1_8,2013,-57.38886,-35.15408,13,8.109,17.75,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
